City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,balkanabat,39.5108,54.3671,4.26,58,1,4.58,TM,1733866127
201,mana,5.6592,-53.7767,26.46,82,8,4.75,GF,1733866128
202,howrah,22.5892,88.3103,17.0,94,34,0.0,IN,1733866129
203,xilin hot,43.9667,116.0333,-15.66,100,91,0.24,CN,1733866131
204,puerto cabezas,14.0351,-83.3888,29.98,79,40,4.12,NI,1733866132
205,vorgashor,67.5833,63.95,-8.07,94,100,7.7,RU,1733866133
206,tabas,33.5959,56.9244,7.86,47,24,2.96,IR,1733866134
207,heroica caborca,30.7167,-112.15,23.12,5,0,6.76,MX,1733866136
208,nuku'alofa,-21.1333,-175.2,28.19,74,20,7.2,TO,1733866137
209,khovd,48.0056,91.6419,-13.39,77,100,1.56,MN,1733866139
210,enewetak,11.3474,162.3373,27.78,77,75,6.15,MH,1733866140
211,lerwick,60.1545,-1.1494,9.09,97,100,6.67,GB,1733866141
212,bandon,51.7469,-8.7425,4.77,87,97,3.11,IE,1733866142
213,laojunmiao,39.8333,97.7333,-11.98,54,42,2.97,CN,1733866143
214,al badari,26.9926,31.4155,16.29,31,81,2.03,EG,1733866144
215,tekkali,18.6167,84.2333,21.58,88,99,2.4,IN,1733866146
216,mili,6.0815,171.735,28.09,81,100,8.74,MH,1733866147
217,mercedes,-34.6515,-59.4307,27.75,23,5,5.4,AR,1733866047
218,castillos,-34.1667,-53.8333,20.11,59,0,3.64,UY,1733865902
219,constantia,44.1833,28.65,2.61,96,99,6.89,RO,1733866150
220,santa vitoria do palmar,-33.5189,-53.3681,20.67,62,0,3.89,BR,1733866151
221,inongo,-1.95,18.2667,22.1,97,96,1.78,CD,1733866152
222,rabo de peixe,37.8,-25.5833,17.77,99,40,2.57,PT,1733866153
223,aldan,58.6031,125.3894,-17.15,96,100,5.21,RU,1733866155
224,fukuecho,32.6881,128.8419,11.06,60,96,2.58,JP,1733866156
225,pointe-noire,-4.7761,11.8635,25.79,90,100,2.84,CG,1733866157
226,okha,53.5739,142.9478,-7.66,82,97,4.86,RU,1733866158
227,nova sintra,14.8667,-24.7167,24.92,69,90,8.54,CV,1733866159
228,valparaiso,-33.0393,-71.6273,22.13,48,0,3.09,CL,1733865602
229,nadym,65.5333,72.5167,-13.05,94,100,6.22,RU,1733866162
230,penzance,50.1186,-5.5371,7.09,75,99,8.33,GB,1733866164
231,rakops,-21.0167,24.3333,31.31,25,40,5.58,BW,1733866165
232,prineville,44.2999,-120.8345,9.39,37,0,5.14,US,1733866166
233,adam,22.3756,57.5233,17.83,38,1,3.32,OM,1733866167
234,qarazhal,48.0078,70.7903,-19.02,91,29,2.69,KZ,1733866168
235,ilomantsi,62.6716,30.9328,2.31,94,100,4.71,FI,1733866169
236,taro,-8.3862,115.28,20.21,96,100,0.16,ID,1733866171
237,vega de alatorre,20.0333,-96.6333,26.86,70,0,3.59,MX,1733866172
238,weno,7.4515,151.8468,28.87,75,12,7.77,FM,1733866173
239,puerto armuelles,8.2833,-82.8667,25.61,83,97,0.45,PA,1733866095
240,keelung,25.1283,121.7419,20.05,87,48,3.41,TW,1733866175
241,touros,-5.1989,-35.4608,26.37,68,15,5.65,BR,1733866176
242,miramichi,47.0043,-65.4654,-2.01,94,100,2.57,CA,1733866177
243,balabac,7.9868,117.0645,27.96,83,100,5.54,PH,1733866179
244,ust'-kut,56.7938,105.7672,-13.74,89,100,3.36,RU,1733866180
245,anadyr,64.75,177.4833,-12.72,92,100,5.0,RU,1733866090
246,hengchun,22.0042,120.7439,21.92,78,94,3.32,TW,1733865942
247,goure,13.9835,10.2704,23.33,22,73,4.68,NE,1733866184
248,antsiranana,-12.2787,49.2917,25.47,77,25,4.98,MG,1733866185
249,santana,-0.0583,-51.1817,28.1,78,75,5.66,BR,1733865947
250,kone,-21.0595,164.8658,29.05,60,33,2.15,NC,1733866188
251,bandar,2.05,99.75,22.43,96,100,0.95,ID,1733866189
252,midvagur,62.0511,-7.1939,1.46,93,75,0.51,FO,1733866190
253,cadale,2.7603,46.3222,26.29,78,9,7.1,SO,1733865915
254,milford haven,51.7128,-5.0341,5.62,78,90,5.44,GB,1733866192
255,levoca,49.0217,20.5921,-0.54,90,100,2.32,SK,1733866193
256,ust-nera,64.5667,143.2,-24.39,100,100,0.82,RU,1733866194
257,akureyri,65.6835,-18.0878,-1.04,74,0,1.54,IS,1733866196
258,fada,7.25,4.0667,23.38,59,75,0.27,NG,1733866197
259,guilin,25.2819,110.2864,8.06,85,100,4.26,CN,1733866198
260,fort bragg,35.139,-79.006,21.75,75,100,1.54,US,1733866199
261,penalva,-3.2942,-45.1736,25.04,88,60,1.81,BR,1733866200
262,mount isa,-20.7333,139.5,26.87,89,100,2.06,AU,1733866201
263,basco,20.4487,121.9702,25.28,72,100,8.68,PH,1733866202
264,osh,40.5151,72.8083,-12.64,79,1,3.0,KG,1733866203
265,pak phanang,8.3511,100.202,25.7,84,100,2.83,TH,1733866205
266,jalai nur,49.45,117.7,-16.61,78,6,5.4,CN,1733866206
267,bodo,67.28,14.405,3.86,80,75,16.98,NO,1733866207
268,as sulayyil,20.4607,45.5779,16.4,36,0,3.19,SA,1733866208
269,buenaventura,3.8801,-77.0312,23.28,82,100,2.24,CO,1733866030
270,abqaiq,25.9371,49.6776,15.24,57,0,4.68,SA,1733865929
